"ISO","Language","Family","Area","H","H_unigram","L2prop","MC","NumChap","Population","Rangesize","vehicularity","ethnologue_L2_users","used_as_L2_by","notes"
"adt","Adynyamathanha","Australian","S-Australia",NA,NA,0,0.600000023841858,5,130,12961.52898,0,FALSE,NA,""
"adx","Amdo Tibetan","Sino-Tibetan","Inner-Asia",NA,NA,0,1,1,810000,283909.6202,0,FALSE,"bqh:peh:slr",""
"ady","Adyghe","North-Caucasian","Greater-Mesopotamia",NA,11.9582481384277,NA,0.904761910438538,2,475300,10284.60435,1,FALSE,NA,""
"adz","Adzera","Austronesian","",NA,NA,0,0.666666686534882,2,28900,1708.479457,0,FALSE,"zsa:zsu:waz",""
"aeb","Tunisian Spoken Arabic","Afro-Asiatic","N-Africa",NA,NA,NA,0.5,3,9000000,152938.6143,1,FALSE,NA,""
"aer","Eastern Arrernte","Australian","S-Australia",NA,NA,0,0.632936537265778,12,3820,32665.9081,0,FALSE,NA,""
"aey","Amele","Trans-New-Guinea","N-Coast-New-Guinea",1.49256575107574,9.3998498916626,0,0.456040561199188,27,5300,130.3710959,0,FALSE,NA,""
"afb","Gulf Spoken Arabic","Afro-Asiatic","Greater-Mesopotamia",NA,NA,NA,0.479999989271164,10,2339000,540557.9099,1,FALSE,NA,""
"afn","Defaka","Niger-Congo","African-Savannah",NA,NA,0,0.600000023841858,1,200,67.82623275,0,FALSE,NA,""
"afr","Afrikaans","Indo-European","S-Africa",1.61481642723084,8.15722751617432,0.587953567504883,0.125,4,4849900,804038.8526,1,TRUE,NA,""
"agb","Legbo","Niger-Congo","African-Savannah",NA,NA,0,0.5,2,60000,136.128487,0,FALSE,NA,""
"agd","Agarabi","Trans-New-Guinea","N-Coast-New-Guinea",1.32566678524017,9.20562934875488,0,0.916666686534882,6,27000,524.693178,0,FALSE,NA,""
"agg","Angor","Senagi","N-Coast-New-Guinea",1.30191075801849,9.65258407592773,0,0.5,8,1270,179.1484215,0,FALSE,NA,""
"agh","Ngelima","Niger-Congo","S-Africa",NA,NA,0,0.5,2,13600,19225.47019,0,FALSE,NA,""
"agm","Angaatiha","Trans-New-Guinea","Interior-New-Guinea",1.28803503513336,10.8731889724731,0,NA,NA,2100,518.4714503,0,FALSE,"ssu",""
"agn","Agutaynen","Austronesian","",1.35859525203705,8.01017093658447,0,NA,NA,15000,213.3679295,0,FALSE,NA,""
"agq","Aghem","Niger-Congo","African-Savannah",NA,NA,0,0,2,26700,183.2016821,0,FALSE,"isu:lmx",""
"agr","Aguaruna","Jivaroan","Andean",1.6092768907547,11.1131162643433,0,0,1,38300,33309.87173,0,FALSE,NA,""
"agt","Central Cagayan Agta","Austronesian","Oceania",1.40198314189911,7.60756540298462,0,0.625,8,780,244.088012,0,FALSE,NA,""
"agu","Aguacateco","Mayan","Mesoamerica",1.44697284698486,8.53820610046387,0,NA,NA,18000,281.8814941,0,FALSE,NA,""
