ISO,Language,Family,Area,H,H_unigram,L2prop,MC,NumChap,Population,Rangesize,vehicularity,ethnologue_L2_users,used_as_L2_by,notes,NOTA BENE! Remember to use Ethnologue version 20 (the 2017 version)!,,,
afb,Gulf Spoken Arabic,Afro-Asiatic,Greater-Mesopotamia,,,,0.4799999893,10,2339000,540557.9099,1,FALSE,no information,,,,,
afn,Defaka,Niger-Congo,African-Savannah,,,0,0.6000000238,1,200,67.82623275,0,FALSE,no information,,,,,
afr,Afrikaans,Indo-European,S-Africa,1.614816427,8.157227516,0.5879535675,0.125,4,4849900,804038.8526,1,TRUE,no information,,,,,
agb,Legbo,Niger-Congo,African-Savannah,,,0,0.5,2,60000,136.128487,0,FALSE,no information,,,,,
agd,Agarabi,Trans-New-Guinea,N-Coast-New-Guinea,1.325666785,9.205629349,0,0.9166666865,6,27000,524.693178,0,FALSE,no information,,,,,
agg,Angor,Senagi,N-Coast-New-Guinea,1.301910758,9.652584076,0,0.5,8,1270,179.1484215,0,FALSE,no information,,,,,
agh,Ngelima,Niger-Congo,S-Africa,,,0,0.5,2,13600,19225.47019,0,FALSE,no information,,,,,
agm,Angaatiha,Trans-New-Guinea,Interior-New-Guinea,1.288035035,10.87318897,0,,,2100,518.4714503,0,FALSE,Used as L2 by Susuami [ssu].,,,,,
agn,Agutaynen,Austronesian,,1.358595252,8.010170937,0,,,15000,213.3679295,0,FALSE,no information,,,,,
agq,Aghem,Niger-Congo,African-Savannah,,,0,0,2,26700,183.2016821,0,FALSE,"Used as L2 by Isu [isu], Laimbue [lmx].",,,,,
agr,Aguaruna,Jivaroan,Andean,1.609276891,11.11311626,0,0,1,38300,33309.87173,0,FALSE,no information,,,,,
agt,Central Cagayan Agta,Austronesian,Oceania,1.401983142,7.607565403,0,0.625,8,780,244.088012,0,FALSE,no information,,,,,
agu,Aguacateco,Mayan,Mesoamerica,1.446972847,8.5382061,0,,,18000,281.8814941,0,FALSE,no information,,,,,
agx,Aghul,North-Caucasian,Greater-Mesopotamia,,10.3121357,0,0.5,2,28300,1392.864563,0,FALSE,no information,98% speak it as L1.,,,,
ahg,Qimant,Afro-Asiatic,Greater-Abyssinia,,,0.658385098,1,7,1650,1208.700289,0,TRUE,no information,,,,,
ahk,Akha,Sino-Tibetan,Southeast-Asia,1.128141522,8.425121307,,0.1666666716,6,563960,11410.64945,1,FALSE,no information,,,,,
aia,Arosi,Austronesian,Oceania,1.330742359,8.835897446,0,0.2857142985,7,6750,545.1498632,0,FALSE,no information,,,,,
aie,Amara,Austronesian,N-Coast-New-Guinea,,,0,1,1,1170,141.8419324,0,FALSE,Used as L2 by Anem [anz].,,,,,
aii,Assyrian Neo-Aramaic,Afro-Asiatic,Greater-Mesopotamia,1.572354913,10.70806217,0,,,108600,2508.469612,0,FALSE,no information,,,,,
aiw,Aari,Afro-Asiatic,,,,0.04458598793,0.6666666865,9,155000,2948.266213,0,TRUE,Used as L2 by Dime [dim].,,,,,
aja,Aja,Nilo-Saharan,African-Savannah,,,0,1,2,200,222.937805,0,FALSE,no information,,,,,
ajg,Aja,Niger-Congo,African-Savannah,,,0,0.5,4,512000,4686.819363,0,FALSE,Used as L2 by Saxwe Gbe [sxw].,,,,,
aji,Ajië,Austronesian,Oceania,,,0,1,1,4040,1795.667823,0,FALSE,"Used as L2 by Arhâ [aqr], Arhö [aok].",,,,,
ajp,South Levantine Spoken Arabic,Afro-Asiatic,Greater-Mesopotamia,,,,0.25,1,6095000,28247.83921,1,FALSE,no information,,,,,
aka,Akan,Niger-Congo,African-Savannah,,,0.108530499,0.6428571343,14,8300000,57389.31838,1,TRUE,"Used as L2 by Abron [abr], Adamorobe Sign Language [ads], Adele [ade], Ahanta [aha], Animere [anf], Anyin [any], Awutu [afu], Chala [cll], Cherepon [cpn], Chumburung [ncu], Deg [mzw], Delo [ntr], Dwang [nnu], Gikyode [acd], Gua [gwx], Konkomba [xon], Kplang [kph], Krache [kye], Larteh [lar], Lelemi [lef], Ligbi [lig], Nafaanra [nfr], Nchumbulu [nlu], Nkami [nkq], Nkonya [nko], Nzema [nzi], Sehwi [sfw], Sekpele [lip], Tumulung Sisaala [sil], Wasa [wss].",,,,,
akb,Batak Angkola,Austronesian,,1.509118915,8.122282982,0,,,750000,12406.80736,0,FALSE,no information,,,,,
akc,Mpur,Language-isolate,N-Coast-New-Guinea,,,0,0.5,4,7000,2151.735835,0,FALSE,no information,,,,,
ake,Akawaio,Cariban,NE-South-America,1.355579972,8.514886856,0,,,5350,23871.60858,0,FALSE,no information,,,,,
akh,Angal Heneng,Trans-New-Guinea,,1.164360881,8.531515121,0,,,40000,456.7099352,0,FALSE,no information,,,,,
akr,Araki,Austronesian,Oceania,,,0,0.25,1,8,2.376229514,0,FALSE,no information,,,,,
akz,Alabama,Muskogean,E-North-America,,,0,1,2,100,140.270917,0,FALSE,Used as L2 by Koasati [cku].,,,,,
alc,Qawasqar,Kaweskaran,SE-South-America,,,0,0.3958333433,8,12,531.6876195,0,FALSE,no information,,,,,
ale,Aleut,Eskimo-Aleut,N-Coast-Asia,,,0,0.7785714269,7,490,2894.147758,0,FALSE,no information,,,,,
alh,Alawa,Australian,N-Australia,,,0,0.696428597,14,18,20722.23242,0,FALSE,no information,,,,,
alj,Alangan,Austronesian,,1.367383242,7.771113873,0,,,7690,1172.541918,0,FALSE,no information,,,,,
aln,Gheg Albanian,Indo-European,,1.80615139,9.116201401,,0.6029411554,17,5660000,27330.07359,1,FALSE,Used as L2 by Vlax Romani [rmy].,,,,,
alp,Alune,Austronesian,Oceania,1.332732677,8.373831749,0,0.3333333433,9,17200,1420.482811,0,FALSE,no information,,,,,
alq,Algonquin,Algic,E-North-America,1.340957642,9.277162552,0,,,2430,1865.213173,0,FALSE,no information,,,,,
alr,Alutor,Chukotko-Kamchatkan,N-Coast-Asia,,,0,0,1,150,4692.404421,0,FALSE,no information,,,,,
alt,Southern Altai,Altaic,Inner-Asia,1.762328148,10.76289177,,0,1,20000,48578.15669,1,FALSE,no information,,,,,
aly,Alyawarr,Australian,S-Australia,1.223400712,10.65886497,0,0.847222209,12,1450,128476.9045,0,FALSE,no information,,,,,
alz,Alur,Nilo-Saharan,,1.665325761,9.095793724,0,,,1367000,6281.354746,0,FALSE,no information,,,,,
amc,Amahuaca,Panoan,NE-South-America,,,0,0.625,8,330,11312.27001,0,FALSE,no information,,,,,
ame,Yanesha',Maipurean,Andean,1.347881913,10.12653255,0,1,2,9830,7727.585487,0,FALSE,no information,,,,,
amf,Hamer-Banna,Afro-Asiatic,Greater-Abyssinia,1.453767896,10.37267494,0.08723352104,0.2916666567,2,42800,8496.633818,0,TRUE,"Used as L2 by Ongota [bxe], Tsamai [tsb].",,,,,
amh,Amharic,Afro-Asiatic,Greater-Abyssinia,2.272248268,11.57164383,0.1549095511,0.5428571701,21,17400000,145259.6047,1,TRUE,no information,,,,,
amk,Ambai,Austronesian,N-Coast-New-Guinea,1.442789078,9.103782654,0,0.5,8,10100,190.0430024,0,FALSE,no information,,,,,
amm,Ama,Arai-(Left-May),N-Coast-New-Guinea,1.227580667,8.539975166,0,,,480,237.7539299,0,FALSE,Used as L2 by Iteri [itr].,,,,,
amn,Amanab,Border,N-Coast-New-Guinea,1.494888306,9.608795166,0,0.4285714328,7,4420,620.8494492,0,FALSE,no information,,,,,
amo,Amo,Niger-Congo,African-Savannah,,,0,0.8000000119,5,12300,496.1953072,0,FALSE,no information,,,,,
amp,Alamblak,Sepik,N-Coast-New-Guinea,1.633423448,10.2119112,0,0.640922606,24,1530,612.1605007,0,FALSE,Used as L2 by Sumariup [siv].,,,,,
amr,Amarakaeri,Harákmbut,NE-South-America,1.372478843,10.76033497,0,,,500,3426.313034,0,FALSE,no information,,,,,
amu,Guerrero Amuzgo,Otomanguean,Mesoamerica,1.361889601,9.019528389,0,,,23000,749.7297756,0,FALSE,no information,,,,,
amx,Anmatyerre,Australian,,1.258197188,9.337890625,0,,,1220,28102.79947,0,FALSE,no information,,,,,
amy,Ami,Australian,,,,0,1,1,32,568.8224647,0,FALSE,no information,,,,,
anc,Ngas,Afro-Asiatic,African-Savannah,,,0,0.1666666716,6,400000,1295.453602,0,FALSE,Used as L2 by Sur [tdl].,,,,,
ane,Xârâcùù,Austronesian,Oceania,,,0,0.125,8,3780,1641.173665,0,FALSE,no information,,,,,
anh,Nend,Trans-New-Guinea,N-Coast-New-Guinea,,,0,1,1,2000,195.7006302,0,FALSE,no information,,,,,
ank,Goemai,Afro-Asiatic,African-Savannah,,,0,0,8,200000,1822.209832,0,FALSE,no information,,,,,
ann,Obolo,Niger-Congo,African-Savannah,1.501467347,8.702167511,0,0.4166666567,12,200000,1294.374593,0,FALSE,no information,,,,,
ano,Andoque,Language-isolate,NE-South-America,,,0,0.75,4,370,925.8038372,0,FALSE,Used as L2 by Nonuya [noj].,,,,,
anq,Jarawa,Andamanese,Southeast-Asia,,,0,1,1,250,344.8038855,0,FALSE,no information,,,,,
anu,Anuak,Nilo-Saharan,Greater-Abyssinia,,,0.01458088588,0.571428597,7,97600,17030.82937,0,TRUE,no information,,,,,
